Bat,id,l,W400,W410,W420,W430,W440,W450,W460,W470,W480,W490,W500,W510,W520,W530,W540,W550,W560,W570,W580,W590,W600,W610,W620,W630,W640,W650,W660,W670,W680,W690,W700,cei,cmi,fp,afr,ae,am
10,140785,F,11.36666667,11.55,11.88666667,12.68666667,14.21333333,16.52333333,18.55666667,20.04,21.17666667,22.37666667,23.43666667,24.13666667,24.11333333,23.65666667,23.38333333,23.63,24.37666667,25.04333333,26.21666667,30.81333333,36.00333333,39.94,42.85333333,44.57666667,45.91,47.02666667,48.13333333,49.18333333,50.32,51.71666667,52.75,27.67448649,32.33593594,,0.015586,-0.144773491,0.001223182
13,140785,R,19.16,19.15,19.44333333,20.44,22.78333333,27.21666667,30.39,32.11666667,33.29333333,34.52,35.50666667,36.11333333,36.28333333,36.37666667,36.21333333,36.29666667,36.95,37.63,38.90333333,42.76666667,47.11666667,50.15666667,52.09666667,53.11666667,53.87333333,54.44666667,55.06666667,55.51666667,55.93,56.63666667,57.17666667,16.10205679,26.17727914,,0.015586,-0.135595433,0.000524741
16,140785,L,16.74,17.06,17.66,18.92,21.33666667,25.43333333,28.39333333,30.15333333,31.43666667,32.85,34.06666667,34.91,35.19,35.38333333,35.36,35.54333333,36.26333333,37.05666667,38.37666667,42.09666667,46.33333333,49.39666667,51.43666667,52.56,53.42,54.12666667,54.84333333,55.36333333,55.83,56.55333333,57.13,16.60382601,26.43658706,,0.015586,-0.133930751,0.000583458
19,140785,H,1.886666667,1.95,2.106666667,2.266666667,2.373333333,2.383333333,2.403333333,2.43,2.486666667,2.57,2.653333333,2.75,2.81,2.86,2.943333333,3.04,3.146666667,3.273333333,3.366666667,3.5,3.62,3.753333333,3.923333333,4.08,4.246666667,4.436666667,4.61,4.746666667,4.88,5.09,5.27,14.10060692,134.6257762,,0.015586,0.000389793,0.000176211
22,140786,F,8.65,9,9.513333333,10.41333333,11.79,13.46,14.86666667,16.01333333,16.94666667,17.96333333,19.05666667,20.05,20.25666667,20.02333333,19.99333333,20.45333333,21.29333333,21.85,22.82333333,27.35666667,32.56,36.38333333,39.29666667,41.09666667,42.51333333,43.74333333,44.92666667,46.00333333,47.14,48.46333333,49.40666667,30.62630502,35.35811212,South_Asian,0.00003,-0.146860102,0.001213438
25,140786,R,13.80333333,14.35666667,15.12,16.39333333,18.53666667,22.08333333,24.7,26.35,27.55666667,28.72333333,29.91,30.97333333,31.48,31.63,31.61333333,31.89,32.67333333,33.36666667,34.61333333,38.34,42.24333333,44.91333333,46.66,47.65,48.39,49.03333333,49.68333333,50.16333333,50.61333333,51.37,51.96666667,16.81045448,30.68804997,South_Asian,0.00003,-0.119670614,0.000576215
28,140786,L,13.38333333,13.96666667,14.65,15.79666667,17.79,21.16,23.66666667,25.23333333,26.33333333,27.5,28.67666667,29.73333333,30.39666667,30.76666667,30.93,31.21333333,31.97,32.84666667,34.16666667,37.48666667,41.14333333,43.84,45.65666667,46.73666667,47.57,48.28666667,49.02,49.58666667,50.13666667,50.94333333,51.55333333,16.90364133,31.31172525,South_Asian,0.00003,-0.110552102,0.000655682
31,140786,H,1.593333333,1.506666667,1.506666667,1.52,1.546666667,1.59,1.64,1.673333333,1.71,1.696666667,1.65,1.646666667,1.656666667,1.653333333,1.673333333,1.69,1.706666667,1.746666667,1.77,1.8,1.826666667,1.866666667,1.916666667,1.96,2.016666667,2.076666667,2.133333333,2.183333333,2.236666667,2.336666667,2.383333333,7.946253351,168.0542422,South_Asian,0.00003,0.001419217,6.70E-05
34,140793,F,8.643333333,8.876666667,9.396666667,10.19666667,11.35333333,12.62666667,13.64,14.50333333,15.29,16.20333333,17.38333333,18.64333333,19.45333333,19.78333333,20.22,21.12333333,22.33,23.18333333,24.37,28.5,32.91,36.09,38.62666667,40.39333333,41.85,43.14,44.36666667,45.42,46.48666667,47.72,48.73333333,27.41785868,35.96350585,East_Asian,0.00003,-0.125667626,0.001183428
37,140793,R,9.676666667,10.29666667,10.99666667,11.98,13.51,15.67333333,17.33,18.62,19.69666667,20.87333333,22.24,23.65,24.79666667,25.59666667,26.22333333,27.03,28.16666667,29.24,30.65,33.88,37.17666667,39.70666667,41.63,42.98333333,44.13666667,45.19333333,46.22,47.08,47.94333333,49.01333333,49.86666667,19.25798648,34.03926337,East_Asian,0.00003,-0.09287834,0.000975277
